"gender" "age" "attitude" "points" "deep" "stra" "surf"
"1" "F" 53 37 25 3.58333333333333 3.375 2.58333333333333
"2" "M" 55 31 12 2.91666666666667 2.75 3.16666666666667
"3" "F" 49 25 24 3.5 3.625 2.25
"4" "M" 53 35 10 3.5 3.125 2.25
"5" "M" 49 37 22 3.66666666666667 3.625 2.83333333333333
"6" "F" 38 38 21 4.75 3.625 2.41666666666667
"7" "M" 50 35 21 3.83333333333333 2.25 1.91666666666667
"8" "F" 37 29 31 3.25 4 2.83333333333333
"9" "M" 37 38 24 4.33333333333333 4.25 2.16666666666667
"10" "F" 42 21 26 4 3.5 3
"11" "M" 37 39 31 3.58333333333333 3.625 2.66666666666667
"12" "F" 34 38 31 3.83333333333333 4.75 2.41666666666667
"13" "F" 34 24 23 4.25 3.625 2.25
"14" "F" 34 30 25 3.33333333333333 3.5 2.75
"15" "M" 35 26 21 4.16666666666667 1.75 2.33333333333333
"16" "F" 33 41 31 3.66666666666667 3.875 2.33333333333333
"17" "F" 32 26 20 4.08333333333333 1.375 2.91666666666667
"18" "F" 44 26 22 3.5 3.25 2.5
"19" "M" 29 17 9 4.08333333333333 3 3.75
"20" "F" 30 27 24 4 3.75 2.75
"21" "M" 27 39 28 3.91666666666667 2.625 2.33333333333333
"22" "M" 29 34 30 4 2.375 2.41666666666667
"23" "F" 31 27 24 4 3.625 3
"24" "F" 37 23 9 3.66666666666667 2.75 2.41666666666667
"25" "F" 26 37 26 3.66666666666667 1.75 2.83333333333333
"26" "F" 26 44 32 4.41666666666667 3.25 3.16666666666667
"27" "M" 30 41 32 3.91666666666667 4 3
"28" "F" 33 37 33 3.75 3.625 2
"29" "F" 33 25 29 3.25 2.875 3.5
"30" "M" 28 30 30 3.58333333333333 3 3.75
"31" "M" 26 34 19 4.91666666666667 1.625 2.5
"32" "F" 27 32 23 3.58333333333333 3.25 2.08333333333333
"33" "F" 25 20 19 2.91666666666667 3.5 2.41666666666667
"34" "F" 31 24 12 3.66666666666667 3 2.58333333333333
"35" "M" 20 42 10 4.5 3.25 1.58333333333333
"36" "F" 39 16 11 4.08333333333333 1.875 2.83333333333333
"37" "M" 38 31 20 3.83333333333333 4.375 1.83333333333333
"38" "M" 24 38 26 3.25 3.625 2.41666666666667
"39" "M" 26 38 31 2.33333333333333 2.5 3.25
"40" "M" 25 33 20 3.33333333333333 1.25 3.41666666666667
"41" "F" 30 17 23 4.08333333333333 4 3.41666666666667
"42" "F" 25 25 12 2.91666666666667 3 3.16666666666667
"43" "M" 30 32 24 3.33333333333333 2.5 3.5
"44" "F" 48 35 17 3.83333333333333 4.875 2.66666666666667
"45" "F" 24 32 29 3.66666666666667 5 2.41666666666667
"46" "F" 40 42 23 4.66666666666667 4.375 3.58333333333333
